topic,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
Topic 0,1.0000,0.0000,0.0577,0.0352,0.1060,0.0000,0.0000,0.0000,0.0627,0.0000
Topic 1,0.0000,1.0000,0.0000,0.1011,0.0000,0.0000,0.0857,0.0000,0.0000,0.2567
Topic 2,0.0577,0.0000,1.0000,0.1699,0.0000,0.0000,0.0000,0.0000,0.0625,0.0000
Topic 3,0.0352,0.1011,0.1699,1.0000,0.0654,0.0621,0.1090,0.0000,0.0382,0.1249
Topic 4,0.1060,0.0000,0.0000,0.0654,1.0000,0.0000,0.0000,0.0000,0.0000,0.0636
Topic 5,0.0000,0.0000,0.0000,0.0621,0.0000,1.0000,0.0527,0.0000,0.0000,0.0603
Topic 6,0.0000,0.0857,0.0000,0.1090,0.0000,0.0527,1.0000,0.0000,0.1069,0.0468
Topic 7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
Topic 8,0.0627,0.0000,0.0625,0.0382,0.0000,0.0000,0.1069,0.0000,1.0000,0.0000
Topic 9,0.0000,0.2567,0.0000,0.1249,0.0636,0.0603,0.0468,0.0000,0.0000,1.0000
